Repository Name,Repository_ID,Provider,Consortium,Number of Records,Text,Identifiers,Connections,Contacts,Total,2025-05,Change,,,,
WorkflowHub,borq.00002-2021,borq,blco,733,47%,21%,6%,0%,19%,19%,0%,,,,
Norland Educare Research Journal,eycg.norland,eycg,blco,23,47%,15%,8%,5%,19%,19%,0%,,,,
Diamond OA Journals at Cambridge,lpsw.xedqsd,lpsw,blco,170,45%,9%,14%,7%,19%,19%,0%,,,,
CL Technical Reports,lpsw.zmftcd,lpsw,blco,998,46%,11%,16%,0%,19%,19%,0%,,,,
University of Kent,bl.kent,bl,blco,3617,46%,11%,11%,8%,19%,19%,0%,,,,
University of Westminster,bl.westminster,bl,blco,1152,52%,13%,6%,1%,18%,18%,0%,,,,
Plymouth University,bl.plymouth,bl,blco,6066,47%,11%,11%,1%,18%,19%,0%,,,,
York,bl.york,bl,blco,10000,53%,11%,6%,0%,18%,18%,0%,,,,
University of Lancashire,bl.uclan,bl,blco,477,45%,11%,9%,5%,18%,18%,0%,,,,
Manchester Region History Review,cmuu.mrhr,cmuu,blco,10,43%,20%,6%,0%,18%,18%,0%,,,,
Centre for Agriculture and Bioscience International (CABI),bl.cabi,bl,blco,22,47%,11%,11%,0%,18%,18%,0%,,,,
Worktribe,mhki.eiftri,mhki,blco,33,42%,20%,6%,0%,18%,18%,0%,,,,
University of Glasgow,bl.glasgow,bl,blco,7569,51%,9%,6%,1%,17%,18%,-1%,,,,
Marine Biological Association,bl.mba,bl,blco,2126,45%,9%,9%,3%,17%,17%,0%,,,,
University of Birmingham - external,qumu.bhamx,qumu,blco,316,41%,9%,11%,9%,17%,17%,0%,,,,
Drug Delivery to the Lungs Conference,nvty.ddl2022,nvty,blco,5,40%,19%,6%,0%,17%,17%,0%,,,,
